User Id,Gameplays,Deposits,Withdrawals,LoyaltyPoints
195,15,0.0,0.0,150.0
196,248,6.0,11.0,2488.0
197,880,0.0,0.0,8800.0
198,13,20.0,1.0,228.0
199,130,6.0,0.0,1330.0
200,4,8.0,5.0,70.0
201,23,6.0,6.0,248.0
202,3,29.0,9.0,157.0
203,3,3.0,0.0,45.0
204,823,42.0,6.0,8428.0
205,3646,0.0,0.0,36460.0
206,1050,11.0,0.0,10555.0
207,27,4.0,1.0,288.0
208,507,35.0,9.0,5227.0
209,18,12.0,0.0,240.0
210,58,3.0,0.0,595.0
211,4,1.0,0.0,45.0
212,1,26.0,4.0,132.0
213,138,2.0,2.0,1386.0
214,56,19.0,1.0,653.0
215,73,6.0,0.0,760.0
216,9,1.0,0.0,95.0
217,18,3.0,0.0,195.0
218,3839,55.0,1.0,38663.0
219,23,8.0,0.0,270.0
220,15,6.0,0.0,180.0
221,2,2.0,0.0,30.0
222,10,16.0,3.0,174.0
223,21,1.0,0.0,215.0
224,72,1.0,0.0,725.0
225,3,1.0,0.0,35.0
226,33,1.0,3.0,329.0
227,659,0.0,0.0,6590.0
228,3,1.0,0.0,35.0
229,13,12.0,1.0,188.0
230,10,15.0,3.0,169.0
231,298,6.0,0.0,3010.0
232,2,10.0,0.0,70.0
233,1196,0.0,3.0,11954.0
234,6,15.0,5.0,125.0
235,39,37.0,0.0,575.0
236,9,4.0,0.0,110.0
237,3297,3.0,1.0,32983.0
238,899,45.0,7.0,9201.0
239,13,8.0,0.0,170.0
240,1606,23.0,3.0,16169.0
241,9,1.0,1.0,93.0
242,535,26.0,3.0,5474.0
243,5,0.0,0.0,50.0
244,2,0.0,1.0,18.0
245,3,25.0,10.0,135.0
246,6,57.0,10.0,325.0
247,6642,20.0,0.0,66520.0
248,61,13.0,0.0,675.0
249,27,1.0,0.0,275.0
250,90,0.0,1.0,898.0
251,23,27.0,2.0,361.0
252,33,10.0,0.0,380.0
253,4,6.0,1.0,68.0
254,3,3.0,1.0,43.0
255,26,5.0,1.0,283.0
256,78,5.0,0.0,805.0
257,12,24.0,2.0,236.0
258,496,31.0,5.0,5105.0
259,126,115.0,0.0,1835.0
260,14,2.0,0.0,150.0
261,53,2.0,5.0,530.0
262,1,27.0,5.0,135.0
263,30,15.0,3.0,369.0
264,381,9.0,3.0,3849.0
265,26,0.0,0.0,260.0
266,209,27.0,0.0,2225.0
267,2,0.0,2.0,16.0
268,3,3.0,0.0,45.0
269,37,18.0,0.0,460.0
270,529,15.0,2.0,5361.0
271,30,15.0,0.0,375.0
272,2833,0.0,8.0,28314.0
273,783,5.0,7.0,7841.0
274,7,28.0,1.0,208.0
275,24,25.0,0.0,365.0
276,16,3.0,1.0,173.0
277,96,5.0,0.0,985.0
278,36,6.0,0.0,390.0
279,2,20.0,0.0,120.0
280,119,94.0,0.0,1660.0
281,29,1.0,0.0,295.0
282,120,3.0,0.0,1215.0
283,182,39.0,3.0,2009.0
284,5,10.0,0.0,100.0
285,46,41.0,2.0,661.0
286,72,5.0,0.0,745.0
287,84,6.0,1.0,868.0
288,3,5.0,1.0,53.0
289,1112,93.0,17.0,11551.0
290,19,1.0,0.0,195.0
291,195,1.0,0.0,1955.0
292,8,11.0,17.0,101.0
293,2,2.0,0.0,30.0
294,5,41.0,3.0,249.0
295,33,6.0,0.0,360.0
296,2723,62.0,19.0,27502.0
297,117,19.0,0.0,1265.0
298,7,3.0,2.0,81.0
299,1,57.0,7.0,281.0
300,1245,0.0,2.0,12446.0
301,102,4.0,1.0,1038.0
302,3,12.0,4.0,82.0
303,960,8.0,0.0,9640.0
304,176,14.0,1.0,1828.0
305,675,39.0,2.0,6941.0
306,4,57.0,0.0,325.0
307,148,2.0,1.0,1488.0
308,6,4.0,1.0,78.0
309,1268,11.0,16.0,12703.0
310,27,11.0,3.0,319.0
311,19,1.0,0.0,195.0
312,5,0.0,0.0,50.0
313,686,7.0,4.0,6887.0
314,116,11.0,1.0,1213.0
315,41,0.0,0.0,410.0
316,17,13.0,1.0,233.0
317,30,15.0,0.0,375.0
318,711,9.0,10.0,7135.0
319,11,2.0,0.0,120.0
320,153,5.0,0.0,1555.0
321,3,3.0,1.0,43.0
322,38,7.0,1.0,413.0
323,26,1.0,0.0,265.0
324,692,0.0,1.0,6918.0
325,62,7.0,0.0,655.0
326,160,9.0,0.0,1645.0
327,16,28.0,2.0,296.0
328,2,1.0,0.0,25.0
329,267,13.0,0.0,2735.0
330,423,22.0,5.0,4330.0
331,24,2.0,0.0,250.0
332,85,1.0,0.0,855.0
333,29,4.0,1.0,308.0
334,103,16.0,0.0,1110.0
335,357,6.0,3.0,3594.0
336,109,21.0,5.0,1185.0
337,240,8.0,3.0,2434.0
338,320,57.0,2.0,3481.0
339,248,0.0,0.0,2480.0
340,51,34.0,0.0,680.0
341,137,47.0,1.0,1603.0
342,868,71.0,7.0,9021.0
343,39,8.0,0.0,430.0
344,3,18.0,10.0,100.0
345,14,1.0,0.0,145.0
346,22,4.0,0.0,240.0
347,25,8.0,0.0,290.0
348,129,8.0,1.0,1328.0
349,21,2.0,0.0,220.0
350,11,1.0,0.0,115.0
351,30,36.0,7.0,466.0
352,313,128.0,8.0,3754.0
353,21,12.0,6.0,258.0
354,188,15.0,1.0,1953.0
355,317,2.0,3.0,3174.0
356,104,48.0,0.0,1280.0
357,190,15.0,6.0,1963.0
358,13,1.0,0.0,135.0
359,12,5.0,0.0,145.0
360,14,2.0,0.0,150.0
361,2,5.0,0.0,45.0
362,1,1.0,0.0,15.0
363,48,0.0,0.0,480.0
364,46,4.0,0.0,480.0
365,3667,10.0,33.0,36654.0
366,110,99.0,0.0,1595.0
367,74,34.0,0.0,910.0
368,6,12.0,0.0,120.0
369,37,13.0,9.0,417.0
370,27,12.0,5.0,320.0
371,221,17.0,1.0,2293.0
372,1310,37.0,6.0,13273.0
373,199,20.0,10.0,2070.0
374,192,0.0,0.0,1920.0
375,927,1.0,1.0,9273.0
376,9,3.0,0.0,105.0
377,2187,7.0,16.0,21873.0
378,39,30.0,3.0,534.0
379,125,75.0,0.0,1625.0
380,453,94.0,16.0,4968.0
381,14,11.0,1.0,193.0
382,90,5.0,0.0,925.0
383,331,22.0,4.0,3412.0
384,1,3.0,1.0,23.0
385,34,1.0,0.0,345.0
386,10,5.0,0.0,125.0
387,14,1.0,0.0,145.0
388,2,0.0,0.0,20.0
389,104,12.0,2.0,1096.0
390,21,71.0,10.0,545.0
391,1219,0.0,0.0,12190.0
392,52,2.0,0.0,530.0
393,9,38.0,2.0,276.0
